id;libelle_long;libelle_court;borne_min;min_inclus;borne_max;max_inclus;ordre_affichage;commentaire;actif
1;charitable agréable snif;du moment que;30069.22;true;30901.86;false;7982;rose;true
2;suivant;de la part de;3678.42;true;5043.14;false;29154;jusque;true
3;ding longtemps sans;pschitt même si;14356.15;false;10953.15;true;4313;oh;true
4;oh;doubler;14979.83;true;19095.99;false;17399;admirablement altruiste;true
5;communauté étudiante tellement;aboutir émérite pendre;3961.46;true;8035.43;true;31033;cot cot dissocier contre;true
6;alors que avant chez;vers aimable tant;1305.03;true;16935.16;false;15800;antique conseil municipal;false
7;repentir;oh apparemment;20504.59;false;14381.11;true;23164;ainsi tellement dense;true
8;tellement diététiste sous couleur de;quelque ha ha;14709.23;false;7026.08;true;15425;que zzzz mature;true
9;lâche sédentaire;boum quitte à que;923.69;false;3241.79;false;19397;vouh;false
10;avant que ouah;vlan rire chut;29954.57;false;5774.48;false;18049;conseil d’administration boum;true
