id;code;nom;ville;adresse;entete_document;signataire;logo_url;nb_cycles_cursus;note_maximale;actif;pays_id
1;partenaire simple ai;splendide commis comme;hôte orange croiser;sans doute de façon à;../fake-data/blob/hipster.txt;opposer population du Québec;sale;18;13421.74;true;1
2;sans doute;quoique;charitable jusqu’à ce que;près complètement;../fake-data/blob/hipster.txt;délectable;rectangulaire vite remonter;4;6301.88;true;2
3;oui cyan;ouin;en dépit de marron jeune enfant;que déjà;../fake-data/blob/hipster.txt;téméraire;inscrire parer quant à;17;26455.92;true;3
4;secouer téméraire;ressusciter;quelque hors de triangulaire;maintenant;../fake-data/blob/hipster.txt;étant donné que;rectorat souvent communauté étudiante;2;3877.68;true;4
5;juriste secours memb;splendide;lunatique porte-parole hé;sympathique;../fake-data/blob/hipster.txt;à l'entour de;bof plic alentour;1;20089.69;false;5
6;dire en faveur de;obéir;céans;dedans oh sitôt;../fake-data/blob/hipster.txt;pour que;au-dedans de de crainte que arrière;18;26848.47;true;6
7;touriste actionnaire;sans doute quand;gestionnaire;reculer;../fake-data/blob/hipster.txt;cot cot;délégation de peur de;15;11038.84;true;7
8;d'abord de manière à;d'abord;vétuste;bè;../fake-data/blob/hipster.txt;quelquefois;raide de sorte que comment;17;17972.41;false;8
9;contester;boum outre;derrière corps enseignant;avant que;../fake-data/blob/hipster.txt;tellement un peu;sitôt que à force de partenaire;14;4057.66;true;9
10;actionnaire même si;ah police diététiste;vu que triathlète foule;après;../fake-data/blob/hipster.txt;d'après;coupable via solitaire;7;14018.69;true;10
