id;intitule;libelle_long;libelle_court;ordre_affichage;nb_periodes;coefficient;date_debut;date_fin;commentaire;actif
1;multiple sur;à moins de;patientèle hirsute;27243;28297;25152.72;2026-08-20;2026-08-20;super;false
2;suivant ronron;ouille perplexe;hypocrite de crainte que ouille;1620;3219;934.17;2026-08-20;2026-08-20;hé;false
3;splendide frémir en vérité;spécialiste conseil d’administration à bas de;adepte broum lorsque;32679;12450;19092.83;2026-08-20;2026-08-20;classer ronron fort;true
4;au défaut de grandement;immense;propre observer;11548;14881;4173.85;2026-08-20;2026-08-20;susciter;true
5;hirsute;membre du personnel laisser vers;derrière où;12281;28622;13463.19;2026-08-20;2026-08-20;derrière police au lieu de;false
6;jeune davantage;aussitôt que quoique;police tic-tac paf;4096;17768;8101.79;2026-08-20;2026-08-20;par suite de plaindre;false
7;admirablement triathlète;collègue énergique puisque;durant avant que;5339;7568;7372;2026-08-20;2026-08-20;délégation;true
8;à peu près;près;sédentaire trop dans;18768;22954;11481.06;2026-08-20;2026-08-20;avare magenta;false
9;miaou;puisque au point que clientèle;prouver près;3086;7295;9958.23;2026-08-20;2026-08-20;aux alentours de;false
10;magenta;membre à vie;parfois;27290;5835;7089;2026-08-20;2026-08-20;tsoin-tsoin sympathique prestataire de services;false
