id;annee;libelle;date_debut;date_fin;cloture;commentaire;centre_id
1;2012;casser élever;2026-08-20;2026-08-20;false;de miam ha;1
2;2052;demeurer tandis que aïe;2026-08-20;2026-08-20;false;porte-parole;2
3;2194;doucement;2026-08-20;2026-08-20;true;pin-pon hé;3
4;2103;espiègle adversaire;2026-08-20;2026-08-20;true;dès que au défaut de sombre;4
5;2023;loin;2026-08-20;2026-08-20;false;équilibrer étranger;5
6;2059;pour que;2026-08-20;2026-08-20;false;près rencontrer de;6
7;2117;que;2026-08-20;2026-08-20;true;débile;7
8;2004;tic-tac parce que pff;2026-08-20;2026-08-20;false;rudement toc affronter;8
9;2048;mélancolique;2026-08-20;2026-08-20;true;ensemble arrière affronter;9
10;1907;trop;2026-08-20;2026-08-20;false;considérer tant;10
