id;intitule;libelle_impression;coefficient;compte_dans_moyenne;note_maximale;date_debut;date_fin;commentaire;cycle_id;enseignant_id;matiere_id;sous_matiere_id;cours_id;type_tache_id
1;direction en dehors de immense;crac auprès de;8020.53;true;25568.53;2026-08-20;2026-08-20;ouille;1;1;1;1;1;1
2;dense;à l'exception de;28768.31;false;8109.63;2026-08-20;2026-08-20;quant à;2;2;2;2;2;2
3;ouf si;ah ouin;21561.06;false;7273.28;2026-08-20;2026-08-20;céder ronron triathlète;3;3;3;3;3;3
4;tant que lectorat;autour;32114.77;false;16558.92;2026-08-20;2026-08-20;présidence;4;4;4;4;4;4
5;meuh appartenir;épargner informer;26767.67;false;2895.44;2026-08-20;2026-08-20;totalement;5;5;5;5;5;5
6;placide;grrr après que parfois;23918.96;false;23174.87;2026-08-20;2026-08-20;placide au lieu de;6;6;6;6;6;6
7;par collègue snob;retentir sous couleur de;2763.29;true;9908.53;2026-08-20;2026-08-20;vivace assez étant donné que;7;7;7;7;7;7
8;adresser commissionnaire;vis-à-vie de tout à fait cadre;11192.2;true;19965.85;2026-08-20;2026-08-20;tellement;8;8;8;8;8;8
9;absolument crac;diététiste rectorat discuter;16260.21;false;6242.84;2026-08-20;2026-08-20;éliminer;9;9;9;9;9;9
10;boum antagoniste;juriste célébrer;26387.43;true;20295.64;2026-08-20;2026-08-20;guide;10;10;10;10;10;10
