id;note;statut;compte_dans_moyenne;date_debut;date_fin;commentaire_1;commentaire_2;commentaire_3;saisie_par;saisie_le;validee_par;validee_le;evaluation_prevue_id;etudiant_id
1;11195.93;NON_SAISIE;false;2026-08-20;2026-08-20;écarter drôlement;ouch;hebdomadaire grossir;couper;2026-08-20T05:14:00;à condition que vu que comporter;2026-08-20T20:53:03;1;1
2;31382.22;VALIDEE;true;2026-08-20;2026-08-20;gigantesque;terne lunatique approuver;mince touriste;quoique;2026-08-20T06:05:54;de crainte que;2026-08-20T19:33:28;2;2
3;24730.99;NON_SAISIE;true;2026-08-20;2026-08-20;hors;là-haut;à demi consoler en vérité;direction;2026-08-20T13:09:27;dehors joliment participer;2026-08-20T19:32:06;3;3
4;21306.1;ABSENT;true;2026-08-20;2026-08-20;membre titulaire entièrement quand;antagoniste du côté de préciser;pour;pendant que;2026-08-20T11:19:09;bang dès chef;2026-08-20T09:31:16;4;4
5;13058.88;ABSENT;true;2026-08-20;2026-08-20;coupable euh tandis que;administration incalculable;fonctionnaire;rallier au-dehors ouah;2026-08-20T12:50:47;du côté de communauté étudiante quand;2026-08-20T13:32:21;5;5
6;9136.04;ABSENT;false;2026-08-20;2026-08-20;tant rédaction avant que;rudement;tant que de sorte que sans que;infime avant que;2026-08-20T07:56:40;bavarder;2026-08-20T19:01:35;6;6
7;17211.54;NON_SAISIE;false;2026-08-20;2026-08-20;pendant que hors de peur que;dans la mesure où que;étant donné que touriste;réunir fort;2026-08-20T17:14:26;quand porte-parole sauvage;2026-08-20T05:42:17;7;7
8;23982.18;SAISIE;false;2026-08-20;2026-08-20;si;avant-hier membre à vie combiner;subito durant;après que du moment que prévenir;2026-08-20T00:09:29;étant donné que équipe de recherche en face de;2026-08-20T11:48:30;8;8
9;15787.18;SAISIE;false;2026-08-20;2026-08-20;négocier;discerner;magnifique prestataire de services élever;depuis ensemble;2026-08-20T04:37:38;solliciter apte;2026-08-20T07:58:47;9;9
10;30592.38;DISPENSE;true;2026-08-20;2026-08-20;concevoir atchoum;répondre ouille;à l'entour de sitôt que;sans que;2026-08-20T14:28:50;dès hormis admirablement;2026-08-20T01:16:20;10;10
