id;date_evenement;intitule;commentaire;etudiant_id
1;2026-08-20;naguère jamais tôt;détourner;1
2;2026-08-20;davantage;blablabla ha vétuste;2
3;2026-08-20;sans que guide;autour de croâ en faveur de;3
4;2026-08-20;touchant;si à cause de;4
5;2026-08-20;avant que;population du Québec sous couleur de à défaut de;5
6;2026-08-20;doucement même si;sédentaire déployer;6
7;2026-08-20;mélanger plic;hôte dresser aussitôt que;7
8;2026-08-20;tchou tchouu hier;arrière;8
9;2026-08-20;électorat quand;devoir tant;9
10;2026-08-20;sauf à naguère;meuh malgré;10
