id;keycloak_user_id;role_fonctionnel;date_debut;date_fin
1;lectorat parfois parcourir;ETUDIANT;2026-08-20;2026-08-20
2;de sorte que;ENSEIGNANT;2026-08-20;2026-08-20
3;remettre consommer afin que;ENSEIGNANT;2026-08-20;2026-08-20
4;jamais cocorico si;ETUDIANT;2026-08-20;2026-08-20
5;timide antique;ENSEIGNANT;2026-08-20;2026-08-20
6;poursuivre contre marron;ETUDIANT;2026-08-20;2026-08-20
7;à la merci baiser;ENSEIGNANT;2026-08-20;2026-08-20
8;pressentir;LECTEUR;2026-08-20;2026-08-20
9;encore à défaut de;ENSEIGNANT;2026-08-20;2026-08-20
10;équipe de recherche toujours mairie;ENSEIGNANT;2026-08-20;2026-08-20
