id;note_avant;note_apres;statut_avant;statut_apres;motif;modifie_par;modifie_le;evaluation_realisee_id
1;23264.98;29610.8;ABSENT;VALIDEE;pourpre;sauf à;2026-08-20T21:17:35;1
2;7552.97;31874.51;VALIDEE;SAISIE;assez placer;séculaire savoir alors que;2026-08-20T20:23:20;2
3;14822.94;11451.13;DISPENSE;ABSENT;parce que;pourpre pourvu que ouin;2026-08-20T18:54:50;3
4;21880.39;20095.27;ABSENT;ABSENT;d'entre fourbe;parlementaire souple;2026-08-20T00:50:05;4
5;17783.46;10399.66;NON_SAISIE;SAISIE;ronron splendide;par rapport à contre;2026-08-20T08:11:28;5
6;14080.48;5650.41;NON_SAISIE;DISPENSE;snif présidence maintenant;altruiste;2026-08-20T09:59:26;6
7;26254.19;16228.11;NON_SAISIE;NON_SAISIE;dense allonger à peu près;franco aussi prestataire de services;2026-08-20T11:30:25;7
8;384.79;13211.33;SAISIE;NON_SAISIE;bzzz;pschitt;2026-08-20T14:54:00;8
9;3675.72;28017.38;DISPENSE;VALIDEE;mériter incognito;chef y divinement;2026-08-20T08:33:33;9
10;32549.01;17803.74;NON_SAISIE;ABSENT;quelquefois au lieu de;de manière à ce que ensemble ouch;2026-08-20T07:39:57;10
