id;date_inscription;cycle_termine;groupe;commentaire_1;commentaire_2;commentaire_3;commentaire_5;cycle_id;etudiant_id
1;2026-08-20;false;sédentaire bzzz;coac coac plus de peur que;prêter;après que plaisanter collègue;groin groin;1;1
2;2026-08-20;false;prolonger;condamner pschitt;à moins de toc-toc bien que;diplomate en decà de;répéter exiger;2;2
3;2026-08-20;false;commis;tic-tac smack;tuer;en decà de snif loin;beaucoup avant que à condition que;3;3
4;2026-08-20;true;beaucoup;en bas de avare psitt;proche grrr ruiner;aigre;hors de certes quoique;4;4
5;2026-08-20;true;prestataire de services fourbe;du fait que;aujourd'hui;dès que;tic-tac toutefois;5;5
6;2026-08-20;false;vis-à-vie de à l'instar de;gens nonobstant biathlète;à l'entour de;de sorte que;mature insolite tard;6;6
7;2026-08-20;false;parce que à travers tant;doucement;après que parce que;multiple à même;fourbe en faveur de à travers;7;7
8;2026-08-20;true;propre;derechef atchoum;pschitt crac smack;pin-pon multiple tchou tchouu;touriste afin que tantôt;8;8
9;2026-08-20;false;marron;pour d'entre;deviner amorphe;pour que tellement;aujourd'hui au-dessous rencontrer;9;9
10;2026-08-20;true;proche de broum hormis;alors pin-pon;ouille à peine quand;de crainte que miam quitter;même si aussitôt;10;10
