id;intitule;libelle_long;libelle_court;commentaire;actif
1;direction;âcre;blablabla horrible demain;touchant oh incognito;true
2;pff pouvoir par rapport à;sans doute si enregistrer;terriblement ouille;tandis que disparaître confronter;false
3;débile;communauté étudiante ha ha observer;innombrable bof actionnaire;miam en faveur de;true
4;en dedans de à partir de en decà de;cyan pff;sitôt que tellement outre;plouf;false
5;pendant que;athlète protester;espérer grrr;délectable sitôt que dès que;false
6;incalculable sans;plutôt;collaborer traduire miam;badaboum durant;true
7;badaboum si bien que comme;si moderne;absolument assez;biathlète;true
8;à force de du fait que;au dépens de rigoler recourir;dring amorphe;avant-hier;true
9;toc-toc actionnaire préciser;fidèle;outre;ronron;true
10;après que;puisque;à l'instar de;coac coac main-d’œuvre équipe de recherche;false
