id;cle;libelle;valeur;type_valeur;modifiable_ui
1;apparaître sans que commis de cuisine;vouh;vaste;NOMBRE;true
2;à moins de pourpre totalement;extatique;actionnaire au-devant;TEXTE;false
3;bè jusque;conseiller;hôte;DATE;false
4;pourvu que;pencher;soutenir;TEXTE;false
5;dense;psitt;d'entre conseil d’administration;NOMBRE;false
6;gai trop;trop police;reparaître détendre;DATE;false
7;terne;avex conseil d’administration si bien que;lorsque également tant que;BOOLEEN;false
8;meuh antique durant;tellement au-dehors;marier reprocher;DATE;false
9;agréable;coin-coin;ainsi turquoise;BOOLEEN;false
10;quand;apte aussitôt que;outre chef;TEXTE;true
