id;code_iso;nom;langue;fuseau;actif
1;ta;ouch équipe dessous;sitôt;épanouir membre du personnel placer;true
2;tc;tchou tchouu commissionnaire;parmi;rectorat délégation;false
3;po;nonobstant un peu plutôt;de pe;que du fait que membre à vie;true
4;to;avant que;rampe;maintenant;false
5;co;autour de sédentaire;mairi;a vider;true
6;gr;du fait que grandement;afin ;divinement de peur que;false
7;mo;incalculable ouch;de vr;de manière à ce que adversaire à l'entour de;true
8;cl;miam sauf à présidence;ding ;lors goûter;true
9;in;quasiment spécialiste quoique;cocor;sage;false
10;au;pff étant donné que;de fa;totalement;false
