id;intitule;libelle_long;libelle_court;commentaire;actif
1;même si patientèle quand;afin que;solliciter paf plutôt;clac pschitt;false
2;vu que charitable;en outre de;quelque;de façon que rudement spécialiste;true
3;prestataire de services pendant;raide;auparavant;aux alentours de enfin;false
4;euh accuser;délectable;novice;psitt considérable sans doute;true
5;au-dessous de;plutôt de sorte que;tsoin-tsoin suivant hi;même si alors que brave;true
6;smack serviable âcre;demain au dépens de secours;plaider;céans diététiste;false
7;parce que novice à seule fin de;aider incalculable;excuser au dépens de;lors de;false
8;de façon à tant autour de;après que exprès;vlan;évoquer de façon que;false
9;guère;par rapport à;extrêmement;jusqu’à ce que gens demain;true
10;pour que offrir lectorat;presque insuffisamment alimenter;selon reparaître comment;à travers;true
