id;code;intitule;libelle_long;libelle_court;entre_dans_moyenne;commentaire;actif
1;tellement responsable;biathlète avant que;ding lorsque chut;rectangulaire placide;false;bientôt;false
2;plic;bè;puisque cadre camarade;assurément;false;hôte remarquer;false
3;au-delà;groin groin chut;aux alentours de probablement;trop deçà;false;à force de masquer;true
4;absolument drôlement vraiment;naguère pschitt autrefois;mince du côté de;au dépens de hystérique;true;de peur que délégation;false
5;jeune enfant concernant assuré;gratter vroum de façon à;sage étant donné que quitte à;nonobstant;false;ouin;true
6;esquisser exprès;d’autant que;en outre de horrible;prout comme;false;lentement;false
7;lors de ha ha;toujours;gâcher bien que vouh;avare;false;hôte;true
8;rectorat en dehors de vu que;biathlète au point que;hé rose maintenir;à cause de;true;atchoum hypocrite;false
9;glouglou toujours pis;administration renverser dès que;derrière;paraître de peur de conseil municipal;false;hebdomadaire rédaction;false
10;quand ?;blablabla chez coin-coin;davantage insipide;espiègle bzzz mature;true;loin de spécialiste croâ;true
